mgh_2,mgh_3,mgh_4,product_type,Product Style,,,
Lifestyle,APPAREL,Pants,Pants (regular),Cargo,,,
Lifestyle,APPAREL,Pants,Pants (regular),Chinos,,,
Lifestyle,APPAREL,Pants,Pants (regular),Sweat pants,,,
Lifestyle,APPAREL,Pants,Pants (regular),Jogger,,,
Lifestyle,APPAREL,Pants,Pants (regular),5 pockets,,,
Lifestyle,APPAREL,Pants,Pants (regular),Flat fronts,,,`
Lifestyle,APPAREL,Pants,Pants (regular),Capris,,,
Lifestyle,APPAREL,Pants,Pants (regular),Culottes,,,
Lifestyle,APPAREL,Pants,Pants (regular),Palazzos,,,
Lifestyle,APPAREL,Pants,Pants (regular),Convertible Pants,,,
Lifestyle,APPAREL,Pants,Pants (regular),Not assigned,,,
Lifestyle,APPAREL,Pants,OVERALL,Cargo,,,
Lifestyle,APPAREL,Pants,OVERALL,Flat fronts,,,
Lifestyle,APPAREL,Pants,OVERALL,Regular,,,
Lifestyle,APPAREL,Pants,OVERALL,SKIRT,,,
Lifestyle,APPAREL,Shorts,Pants (regular),Cargo,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Cargo,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Sweat pants,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Bermuda,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Board short,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Skorts,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),Chinos short,,,
Lifestyle,APPAREL,Shorts,Shorts (regular),SKIRT,,,
Lifestyle,APPAREL,Shirt,Shirt (long sleeves),Regular shirt,,,
Lifestyle,APPAREL,Shirt,Shirt (long sleeves),Pattern shirt,,,
Lifestyle,APPAREL,Shirt,Shirt (long sleeves),Hodded shirt,,,
Lifestyle,APPAREL,Shirt,Shirt (short sleeves),Regular shirt,,,
Lifestyle,APPAREL,Shirt,Shirt (short sleeves),Pattern shirt,,,
Lifestyle,APPAREL,Top,Henley,Crew Neck,,,
Lifestyle,APPAREL,Top,Henley,Not assigned,,,
Lifestyle,APPAREL,Top,Polo shirt (long sleeves),Regular polo,,,
Lifestyle,APPAREL,Top,Polo shirt (long sleeves),Pattern polo,,,
Lifestyle,APPAREL,Top,Polo shirt (long sleeves),Not assigned,,,
Lifestyle,APPAREL,Top,Polo shirt (short sleeves),Regular polo,,,
Lifestyle,APPAREL,Top,Polo shirt (short sleeves),Pattern polo,,,
Lifestyle,APPAREL,Top,Polo shirt (short sleeves),Short sleeve top,,,
Lifestyle,APPAREL,Top,Polo shirt (short sleeves),Not assigned,,,
Lifestyle,APPAREL,Top,Shirt (long sleeves),Pattern shirt,,,
Lifestyle,APPAREL,Top,T-Shirt (long sleeves),Pattern shirt,,,
Lifestyle,APPAREL,Top,T-Shirt (long sleeves),Crew Neck,,,
Lifestyle,APPAREL,Top,T-Shirt (long sleeves),Long sleeve top,,,
Lifestyle,APPAREL,Top,T-Shirt (long sleeves),Not assigned,,,
Lifestyle,APPAREL,Top,T-Shirt (short sleeves),Crew Neck,,,
Lifestyle,APPAREL,Top,T-Shirt (short sleeves),Short sleeve top,,,
Lifestyle,APPAREL,Top,T-Shirt (short sleeves),N/A,,,
Lifestyle,APPAREL,Top,T-Shirt (short sleeves),Not assigned,,,
Lifestyle,APPAREL,Top,T-Shirt (sleeveless),Crew Neck,,,
Lifestyle,APPAREL,Top,T-Shirt (sleeveless),Polyester,,,
Lifestyle,APPAREL,Top,T-Shirt (sleeveless),Not assigned,,,
Lifestyle,APPAREL,Top,Not Assigned,Not assigned,,,
Lifestyle,APPAREL,Jacket,Fleece Jacket,Non Hooded,,,
Lifestyle,APPAREL,Jacket,Insulated Jacket,Hooded,,,
Lifestyle,APPAREL,Jacket,Insulated Jacket,Puffer,,,
Lifestyle,APPAREL,Jacket,Jack Shirt,Hooded,,,
Lifestyle,APPAREL,Jacket,Jack Shirt,Non Hooded,,,
Lifestyle,APPAREL,Jacket,Jack Shirt,Coach,,,
Lifestyle,APPAREL,Jacket,Softshell Jacket,Non Hooded,,,
Lifestyle,APPAREL,Jacket,Softshell Jacket,Anorak,,,
Lifestyle,APPAREL,Jacket,Waterproof Jacket,Hooded,,,
Lifestyle,APPAREL,Jacket,Waterproof Jacket,Bomber,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Hooded,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Non Hooded,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Parka,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Bomber,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Anorak,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Coach,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Harrington,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Varsity,,,
Lifestyle,APPAREL,Jacket,Windproof Jacket,Not assigned,,,
Lifestyle,APPAREL,Sweater,Hoodie (non-zip),Hooded,,,
Lifestyle,APPAREL,Sweater,Hoodie (non-zip),V-Neck Jumper,,,
Lifestyle,APPAREL,Sweater,Hoodie (non-zip),Crew Neck Jumper,,,
Lifestyle,APPAREL,Sweater,Hoodie (non-zip),Sweatshirt,,,
Lifestyle,APPAREL,Sweater,Hoodie (non-zip),Not assigned,,,
Lifestyle,APPAREL,Sweater,Hoodie (zip),Sweatshirt,,,
Lifestyle,APPAREL,Sweater,Knitwear,Crew Neck Jumper,,,
Lifestyle,APPAREL,Sweater,Knitwear,Cardigan,,,
Lifestyle,APPAREL,Sweater,Knitwear,Sweatshirt,,,
Lifestyle,APPAREL,Sweater,Non-hoodie (non-zip),Crew Neck Jumper,,,
Lifestyle,APPAREL,Sweater,Non-hoodie (non-zip),Cardigan,,,
Lifestyle,APPAREL,Sweater,Non-hoodie (non-zip),Sweatshirt,,,
Lifestyle,APPAREL,Sweater,Non-hoodie (zip),Sweatshirt,,,
Lifestyle,APPAREL,Rainwear,Poncho,Hooded,,,
Lifestyle,APPAREL,Vest,Fleece Vest,Non Hooded,,,
Lifestyle,APPAREL,Vest,Insulated Vest,Hooded,,,
Lifestyle,APPAREL,Vest,Insulated Vest,Non Hooded,,,
Lifestyle,APPAREL,Vest,Insulated Vest,Not assigned,,,
Lifestyle,APPAREL,Vest,Windproof Vest,Non Hooded,,,
Lifestyle,APPAREL,Vest,Windproof Vest,Not assigned,,,
Lifestyle,APPAREL,Vest,Not Assigned,Not assigned,,,
Lifestyle,APPAREL,Gown,MIDI SKIRT,SKIRT,,,
Lifestyle,BAGS,Backpack,Camera,Daypack,,,
Lifestyle,BAGS,Backpack,Camera,Not assigned,,,
Lifestyle,BAGS,Backpack,Daypack,Two ways carry,,,
Lifestyle,BAGS,Backpack,Daypack,Three Ways Carry,,,
Lifestyle,BAGS,Backpack,Daypack,Packable,,,
Lifestyle,BAGS,Backpack,Daypack,Daypack,,,
Lifestyle,BAGS,Backpack,Daypack,DRAWSTRING,,,
Lifestyle,BAGS,Backpack,Daypack,WATER PROTECTION,,,
Lifestyle,BAGS,Backpack,Daypack,Not assigned,,,
Lifestyle,BAGS,Backpack,Laptop,Two ways carry,,,
Lifestyle,BAGS,Backpack,Laptop,Three Ways Carry,,,
Lifestyle,BAGS,Backpack,Laptop,Daypack,,,
Lifestyle,BAGS,Backpack,Laptop,N/A,,,
Lifestyle,BAGS,Backpack,Laptop,Not assigned,,,
Lifestyle,BAGS,Backpack,Rucksack,Fixed Harness,,,
Lifestyle,BAGS,Backpack,Rucksack,Daypack,,,
Lifestyle,BAGS,Backpack,Rucksack,Not assigned,,,
Lifestyle,BAGS,Backpack,Technical,Daypack,,,
Lifestyle,BAGS,Backpack,Wheeled Backpack,Two Wheeled,,,
Lifestyle,BAGS,Backpack,Travel Backpack,Daypack,,,
